date,type,spc_bin,level,group,prev_cnt,prev_avg_eok,curr_cnt,curr_avg_eok,avg_change_pct,new_cnt,new_avg_eok,new_premium_pct,del_cnt,del_avg_eok,del_premium_pct
20260121,A1,33-65,ALL,ALL,191,27.62,203,26.75,-3.2%,124,25.31,-5.4%,112,26.66,-0.3%
20260121,A1,66-98,ALL,ALL,876,36.95,869,37.82,+2.4%,520,35.75,-5.5%,527,34.33,-9.2%
20260121,A1,99-131,ALL,ALL,307,55.95,307,56.2,+0.4%,169,57.89,+3.0%,169,57.44,+2.2%
20260121,A1,132-164,ALL,ALL,145,52.54,145,51.71,-1.6%,84,50.6,-2.2%,84,52.01,+0.6%
20260121,A1,전체,ALL,ALL,1551,41.23,1556,41.23,+0.0%,917,39.77,-3.6%,912,39.75,-3.6%
20260122,A1,132-164,ALL,ALL,145,53.0,141,51.55,-2.7%,87,52.17,+1.2%,91,54.47,+5.7%
20260122,A1,99-131,ALL,ALL,311,55.85,306,56.32,+0.8%,164,58.91,+4.6%,169,57.95,+2.9%
20260122,A1,전체,ALL,ALL,1555,41.16,1559,41.47,+0.7%,922,40.66,-2.0%,918,40.14,-3.2%
20260122,A1,33-65,ALL,ALL,195,27.21,208,27.26,+0.2%,122,26.16,-4.0%,109,25.95,-4.8%
20260122,A1,66-98,ALL,ALL,874,36.89,872,38.1,+3.3%,527,36.47,-4.3%,529,34.48,-9.5%
20260123,A1,33-65,ALL,ALL,197,26.93,210,27.59,+2.4%,125,27.2,-1.4%,112,26.02,-5.7%
20260123,A1,66-98,ALL,ALL,872,37.18,865,37.96,+2.1%,521,36.14,-4.8%,528,34.87,-8.1%
20260123,A1,99-131,ALL,ALL,308,55.88,307,55.53,-0.6%,170,56.5,+1.7%,171,57.13,+2.9%
20260123,A1,132-164,ALL,ALL,143,52.62,140,52.43,-0.4%,87,51.67,-1.5%,90,52.0,-0.8%
20260123,A1,전체,ALL,ALL,1552,41.19,1555,41.36,+0.4%,925,40.18,-2.9%,922,39.89,-3.6%
20260124,A1,132-164,ALL,ALL,142,52.03,143,52.02,-0.0%,87,51.18,-1.6%,86,51.19,-1.6%
20260124,A1,33-65,ALL,ALL,195,27.0,213,27.41,+1.5%,127,26.6,-2.9%,109,25.79,-5.9%
20260124,A1,66-98,ALL,ALL,877,37.24,866,37.9,+1.8%,530,36.34,-4.1%,541,35.28,-6.9%
20260124,A1,99-131,ALL,ALL,308,55.7,309,55.77,+0.1%,171,57.98,+4.0%,170,57.86,+3.7%
20260124,A1,전체,ALL,ALL,1555,41.14,1565,41.3,+0.4%,939,40.35,-2.3%,929,40.07,-3.0%
