level,hscpNo,complex_name,region1,region2,region3,spc_bin,prev_cnt,prev_avg_eok,curr_cnt,curr_avg_eok,avg_change_pct,new_cnt,new_avg_eok,new_premium_pct,del_cnt,del_avg_eok,del_premium_pct
COMPLEX,27578,백현마을5단지,경기도,성남시,분당구,66-98,5,26.90,6,26.58,-1.2%,6,26.58,+0.0%,5,26.90,+1.2%
COMPLEX,27578,백현마을5단지,경기도,성남시,분당구,ALL_BINS,5,26.90,6,26.58,-1.2%,6,26.58,+0.0%,5,26.90,+1.2%
COMPLEX,2645,상록우성,경기도,성남시,분당구,66-98,6,24.12,4,24.43,+1.3%,4,24.43,+0.0%,6,24.12,-1.3%
COMPLEX,2645,상록우성,경기도,성남시,분당구,99-131,1,27.00,2,27.75,+2.8%,2,27.75,+0.0%,1,27.00,-2.7%
COMPLEX,2645,상록우성,경기도,성남시,분당구,132-164,2,30.90,2,30.90,+0.0%,1,29.80,-3.6%,1,29.80,-3.6%
COMPLEX,2645,상록우성,경기도,성남시,분당구,ALL_BINS,9,25.95,8,26.88,+3.6%,7,26.15,-2.7%,8,25.19,-6.3%
COMPLEX,106922,알파리움1단지(주상복합),경기도,성남시,분당구,66-98,0,,1,28.00,,1,28.00,+0.0%,0,,
COMPLEX,106922,알파리움1단지(주상복합),경기도,성남시,분당구,99-131,3,34.83,3,33.17,-4.8%,1,30.00,-9.5%,1,35.00,+5.5%
COMPLEX,106922,알파리움1단지(주상복합),경기도,성남시,분당구,132-164,7,35.21,6,35.75,+1.5%,3,36.50,+2.1%,4,35.38,-1.0%
COMPLEX,106922,알파리움1단지(주상복합),경기도,성남시,분당구,ALL_BINS,10,35.10,10,34.20,-2.6%,5,33.50,-2.0%,5,35.30,+3.2%
COMPLEX,1994,양지5단지한양,경기도,성남시,분당구,33-65,9,13.99,8,14.97,+7.0%,7,14.97,-0.0%,8,13.87,-7.4%
COMPLEX,1994,양지5단지한양,경기도,성남시,분당구,66-98,1,25.00,1,25.00,+0.0%,0,,,0,,
COMPLEX,1994,양지5단지한양,경기도,성남시,분당구,132-164,3,27.40,3,27.40,+0.0%,3,27.40,+0.0%,3,27.40,+0.0%
COMPLEX,1994,양지5단지한양,경기도,성남시,분당구,>=165,0,,1,41.00,,1,41.00,+0.0%,0,,
COMPLEX,1994,양지5단지한양,경기도,성남시,분당구,ALL_BINS,13,17.93,13,20.62,+15.0%,11,20.73,+0.5%,11,17.56,-14.8%
COMPLEX,3621,파크뷰(주상복합),경기도,성남시,분당구,66-98,11,27.53,10,27.58,+0.2%,7,27.54,-0.1%,8,27.48,-0.4%
COMPLEX,3621,파크뷰(주상복합),경기도,성남시,분당구,99-131,1,30.00,1,30.00,+0.0%,1,30.00,+0.0%,1,30.00,+0.0%
COMPLEX,3621,파크뷰(주상복합),경기도,성남시,분당구,132-164,16,31.41,14,31.75,+1.1%,11,31.68,-0.2%,13,31.27,-1.5%
COMPLEX,3621,파크뷰(주상복합),경기도,성남시,분당구,>=165,10,38.65,11,38.77,+0.3%,6,38.58,-0.5%,5,38.30,-1.2%
COMPLEX,3621,파크뷰(주상복합),경기도,성남시,분당구,ALL_BINS,38,32.15,36,32.69,+1.7%,25,32.11,-1.8%,27,31.40,-3.9%
COMPLEX,27508,판교푸르지오그랑블,경기도,성남시,분당구,66-98,6,34.67,6,34.83,+0.5%,4,34.87,+0.1%,4,34.62,-0.6%
COMPLEX,27508,판교푸르지오그랑블,경기도,성남시,분당구,99-131,4,40.75,5,41.00,+0.6%,4,40.75,-0.6%,3,40.33,-1.6%
COMPLEX,27508,판교푸르지오그랑블,경기도,성남시,분당구,132-164,2,48.75,2,48.75,+0.0%,1,47.50,-2.6%,1,47.50,-2.6%
COMPLEX,27508,판교푸르지오그랑블,경기도,성남시,분당구,ALL_BINS,12,39.04,13,39.35,+0.8%,9,38.89,-1.2%,8,38.37,-2.5%
COMPLEX,180280,래미안대치팰리스,서울시,강남구,,33-65,1,34.50,1,34.50,+0.0%,1,34.50,+0.0%,1,34.50,+0.0%
COMPLEX,180280,래미안대치팰리스,서울시,강남구,,66-98,87,50.71,93,51.00,+0.6%,59,51.71,+1.4%,53,51.32,+0.6%
COMPLEX,180280,래미안대치팰리스,서울시,강남구,,99-131,11,64.45,12,64.33,-0.2%,7,64.86,+0.8%,6,65.17,+1.3%
COMPLEX,180280,래미안대치팰리스,서울시,강남구,,132-164,10,67.59,10,67.19,-0.6%,6,66.15,-1.5%,6,66.82,-0.6%
COMPLEX,180280,래미안대치팰리스,서울시,강남구,,ALL_BINS,109,53.49,116,53.63,+0.3%,73,53.92,+0.6%,66,53.73,+0.2%
COMPLEX,2591,"까치롯데,선경",서울시,강동구,,33-65,1,13.50,2,13.50,+0.0%,2,13.50,+0.0%,1,13.50,+0.0%
COMPLEX,2591,"까치롯데,선경",서울시,강동구,,66-98,4,18.55,3,18.50,-0.3%,3,18.50,+0.0%,4,18.55,+0.3%
COMPLEX,2591,"까치롯데,선경",서울시,강동구,,132-164,1,21.00,2,21.50,+2.4%,2,21.50,+0.0%,1,21.00,-2.3%
COMPLEX,2591,"까치롯데,선경",서울시,강동구,,ALL_BINS,6,18.12,7,17.93,-1.0%,7,17.93,+0.0%,6,18.12,+1.0%
COMPLEX,155817,올림픽파크포레온,서울시,강동구,,<33,2,15.00,2,15.00,+0.0%,2,15.00,+0.0%,2,15.00,+0.0%
COMPLEX,155817,올림픽파크포레온,서울시,강동구,,33-65,32,18.53,27,18.67,+0.8%,7,18.50,-0.9%,12,18.19,-2.6%
COMPLEX,155817,올림픽파크포레온,서울시,강동구,,66-98,180,32.19,196,32.19,+0.0%,110,31.98,-0.6%,94,31.95,-0.7%
COMPLEX,155817,올림픽파크포레온,서울시,강동구,,99-131,48,37.45,47,37.55,+0.3%,20,38.24,+1.8%,21,37.99,+1.2%
COMPLEX,155817,올림픽파크포레온,서울시,강동구,,132-164,35,41.44,34,41.70,+0.6%,22,41.54,-0.4%,23,41.15,-1.3%
COMPLEX,155817,올림픽파크포레온,서울시,강동구,,ALL_BINS,297,32.54,306,32.76,+0.7%,161,33.27,+1.5%,152,32.87,+0.3%
COMPLEX,116048,꿈의숲해링턴플레이스,서울시,강북구,,33-65,6,8.65,5,8.96,+3.6%,1,8.40,-6.2%,2,8.32,-7.1%
COMPLEX,116048,꿈의숲해링턴플레이스,서울시,강북구,,66-98,20,10.14,17,10.47,+3.3%,5,10.60,+1.2%,8,10.09,-3.6%
COMPLEX,116048,꿈의숲해링턴플레이스,서울시,강북구,,99-131,5,12.70,5,13.10,+3.2%,2,13.00,-0.8%,2,12.00,-8.4%
COMPLEX,116048,꿈의숲해링턴플레이스,서울시,강북구,,ALL_BINS,31,10.26,27,10.68,+4.0%,8,10.93,+2.3%,12,10.11,-5.3%
COMPLEX,9106,북한산아이파크,서울시,강북구,,66-98,26,9.59,23,9.58,-0.1%,13,9.45,-1.4%,16,9.50,-0.8%
COMPLEX,9106,북한산아이파크,서울시,강북구,,99-131,24,11.33,22,11.33,-0.0%,9,11.19,-1.2%,11,11.23,-0.9%
COMPLEX,9106,북한산아이파크,서울시,강북구,,132-164,9,12.81,10,12.86,+0.4%,5,12.65,-1.6%,4,12.50,-2.8%
COMPLEX,9106,북한산아이파크,서울시,강북구,,>=165,10,15.51,9,15.68,+1.1%,6,15.85,+1.1%,7,15.59,-0.6%
COMPLEX,9106,북한산아이파크,서울시,강북구,,ALL_BINS,69,11.47,64,11.55,+0.7%,33,11.57,+0.2%,38,11.44,-1.0%
COMPLEX,114809,e편한세상서울대입구,서울시,관악구,,33-65,5,13.72,7,14.00,+2.0%,5,14.00,+0.0%,3,13.63,-2.6%
COMPLEX,114809,e편한세상서울대입구,서울시,관악구,,66-98,25,15.06,22,15.25,+1.3%,17,15.25,+0.0%,20,15.01,-1.6%
