level,hscpNo,complex_name,region1,region2,region3,spc_bin,prev_cnt,prev_avg_eok,curr_cnt,curr_avg_eok,avg_change_pct,new_cnt,new_avg_eok,new_premium_pct,del_cnt,del_avg_eok,del_premium_pct
COMPLEX,2591,"까치롯데,선경",경기도,성남시,분당구,70㎡,1,6.50,0,,,0,,,1,6.50,
COMPLEX,2591,"까치롯데,선경",경기도,성남시,분당구,84㎡,3,7.63,0,,,0,,,3,7.63,
COMPLEX,2591,"까치롯데,선경",경기도,성남시,분당구,ALL_BINS,4,7.35,0,,,0,,,4,7.35,
COMPLEX,27578,백현마을5단지,경기도,성남시,분당구,84㎡,2,10.50,0,,,0,,,2,10.50,
COMPLEX,27578,백현마을5단지,경기도,성남시,분당구,ALL_BINS,2,10.50,0,,,0,,,2,10.50,
COMPLEX,2645,상록우성,경기도,성남시,분당구,55㎡,1,6.00,0,,,0,,,1,6.00,
COMPLEX,2645,상록우성,경기도,성남시,분당구,69㎡,1,7.50,0,,,0,,,1,7.50,
COMPLEX,2645,상록우성,경기도,성남시,분당구,84㎡,3,9.17,0,,,0,,,3,9.17,
COMPLEX,2645,상록우성,경기도,성남시,분당구,129㎡,2,9.00,0,,,0,,,2,9.00,
COMPLEX,2645,상록우성,경기도,성남시,분당구,162㎡,2,10.00,0,,,0,,,2,10.00,
COMPLEX,2645,상록우성,경기도,성남시,분당구,ALL_BINS,9,8.78,0,,,0,,,9,8.78,
COMPLEX,106922,알파리움1단지(주상복합),경기도,성남시,분당구,142㎡,4,19.95,0,,,0,,,4,19.95,
COMPLEX,106922,알파리움1단지(주상복합),경기도,성남시,분당구,ALL_BINS,4,19.95,0,,,0,,,4,19.95,
COMPLEX,1994,양지5단지한양,경기도,성남시,분당구,35㎡,3,3.37,0,,,0,,,3,3.37,
COMPLEX,1994,양지5단지한양,경기도,성남시,분당구,48㎡,1,4.80,0,,,0,,,1,4.80,
COMPLEX,1994,양지5단지한양,경기도,성남시,분당구,84㎡,1,8.50,0,,,0,,,1,8.50,
COMPLEX,1994,양지5단지한양,경기도,성남시,분당구,134㎡,1,11.00,0,,,0,,,1,11.00,
COMPLEX,1994,양지5단지한양,경기도,성남시,분당구,164㎡,2,12.00,0,,,0,,,2,12.00,
COMPLEX,1994,양지5단지한양,경기도,성남시,분당구,200㎡,1,13.00,0,,,0,,,1,13.00,
COMPLEX,1994,양지5단지한양,경기도,성남시,분당구,ALL_BINS,9,7.93,0,,,0,,,9,7.93,
COMPLEX,3621,파크뷰(주상복합),경기도,성남시,분당구,124㎡,1,14.50,0,,,0,,,1,14.50,
COMPLEX,3621,파크뷰(주상복합),경기도,성남시,분당구,139㎡,4,14.62,0,,,0,,,4,14.62,
COMPLEX,3621,파크뷰(주상복합),경기도,성남시,분당구,162㎡,2,16.00,0,,,0,,,2,16.00,
COMPLEX,3621,파크뷰(주상복합),경기도,성남시,분당구,182㎡,1,21.00,0,,,0,,,1,21.00,
COMPLEX,3621,파크뷰(주상복합),경기도,성남시,분당구,ALL_BINS,8,15.75,0,,,0,,,8,15.75,
COMPLEX,27508,판교푸르지오그랑블,경기도,성남시,분당구,98㎡,1,13.50,0,,,0,,,1,13.50,
COMPLEX,27508,판교푸르지오그랑블,경기도,성남시,분당구,117㎡,2,20.00,0,,,0,,,2,20.00,
COMPLEX,27508,판교푸르지오그랑블,경기도,성남시,분당구,139㎡,1,23.00,0,,,0,,,1,23.00,
COMPLEX,27508,판교푸르지오그랑블,경기도,성남시,분당구,ALL_BINS,4,19.12,0,,,0,,,4,19.12,
