level,region1,region2,region3,spc_bin,prev_cnt,prev_avg_eok,curr_cnt,curr_avg_eok,avg_change_pct,new_cnt,new_avg_eok,new_premium_pct,del_cnt,del_avg_eok,del_premium_pct
REGION,경기도,성남시,분당구,33-65,9,13.99,8,14.97,+7.0%,7,14.97,-0.0%,8,13.87,-7.4%
REGION,경기도,성남시,분당구,66-98,29,28.11,28,28.39,+1.0%,22,28.07,-1.1%,23,27.72,-2.4%
REGION,경기도,성남시,분당구,99-131,9,36.06,11,35.45,-1.7%,8,34.81,-1.8%,6,35.50,+0.1%
REGION,경기도,성남시,분당구,132-164,30,33.02,27,33.35,+1.0%,19,32.50,-2.6%,22,32.16,-3.6%
REGION,경기도,성남시,분당구,>=165,10,38.65,12,38.96,+0.8%,7,38.93,-0.1%,5,38.30,-1.7%
REGION,경기도,성남시,분당구,ALL_BINS,87,30.37,86,31.08,+2.3%,63,30.01,-3.4%,64,29.07,-6.5%
REGION,서울시,강남구,,33-65,1,34.50,1,34.50,+0.0%,1,34.50,+0.0%,1,34.50,+0.0%
REGION,서울시,강남구,,66-98,87,50.71,93,51.00,+0.6%,59,51.71,+1.4%,53,51.32,+0.6%
REGION,서울시,강남구,,99-131,11,64.45,12,64.33,-0.2%,7,64.86,+0.8%,6,65.17,+1.3%
REGION,서울시,강남구,,132-164,10,67.59,10,67.19,-0.6%,6,66.15,-1.5%,6,66.82,-0.6%
REGION,서울시,강남구,,ALL_BINS,109,53.49,116,53.63,+0.3%,73,53.92,+0.6%,66,53.73,+0.2%
REGION,서울시,강동구,,<33,2,15.00,2,15.00,+0.0%,2,15.00,+0.0%,2,15.00,+0.0%
REGION,서울시,강동구,,33-65,33,18.37,29,18.31,-0.3%,9,17.39,-5.0%,13,17.83,-2.6%
REGION,서울시,강동구,,66-98,184,31.89,199,31.98,+0.3%,113,31.62,-1.1%,98,31.40,-1.8%
REGION,서울시,강동구,,99-131,48,37.45,47,37.55,+0.3%,20,38.24,+1.8%,21,37.99,+1.2%
REGION,서울시,강동구,,132-164,36,40.87,36,40.58,-0.7%,24,39.87,-1.7%,24,40.31,-0.7%
REGION,서울시,강동구,,ALL_BINS,303,32.25,313,32.43,+0.5%,168,32.63,+0.6%,158,32.31,-0.4%
REGION,서울시,강북구,,33-65,6,8.65,5,8.96,+3.6%,1,8.40,-6.2%,2,8.32,-7.1%
REGION,서울시,강북구,,66-98,46,9.83,40,9.96,+1.3%,18,9.77,-1.9%,24,9.70,-2.6%
REGION,서울시,강북구,,99-131,29,11.57,27,11.66,+0.8%,11,11.52,-1.2%,13,11.35,-2.7%
REGION,서울시,강북구,,132-164,9,12.81,10,12.86,+0.4%,5,12.65,-1.6%,4,12.50,-2.8%
REGION,서울시,강북구,,>=165,10,15.51,9,15.68,+1.1%,6,15.85,+1.1%,7,15.59,-0.6%
REGION,서울시,강북구,,ALL_BINS,100,11.10,91,11.29,+1.7%,41,11.45,+1.4%,50,11.12,-1.5%
REGION,서울시,관악구,,33-65,5,13.72,7,14.00,+2.0%,5,14.00,+0.0%,3,13.63,-2.6%
REGION,서울시,관악구,,66-98,25,15.06,22,15.25,+1.3%,17,15.25,+0.0%,20,15.01,-1.6%
REGION,서울시,관악구,,99-131,10,16.87,8,16.82,-0.3%,5,16.82,+0.0%,7,16.89,+0.4%
REGION,서울시,관악구,,ALL_BINS,40,15.35,37,15.35,+0.1%,27,15.31,-0.3%,30,15.31,-0.3%
REGION,서울시,구로구,,66-98,10,18.70,8,18.56,-0.7%,4,18.90,+1.8%,6,19.02,+2.5%
REGION,서울시,구로구,,99-131,4,20.24,5,20.59,+1.8%,1,22.00,+6.8%,0,,
REGION,서울시,구로구,,132-164,6,21.50,6,23.25,+8.1%,2,25.25,+8.6%,2,20.00,-14.0%
REGION,서울시,구로구,,ALL_BINS,20,19.85,19,20.58,+3.7%,7,21.16,+2.8%,8,19.27,-6.4%
REGION,서울시,동대문구,,66-98,41,21.62,40,21.52,-0.5%,28,21.32,-0.9%,29,21.49,-0.1%
REGION,서울시,동대문구,,99-131,9,26.22,11,25.95,-1.0%,9,25.50,-1.7%,7,25.71,-0.9%
REGION,서울시,동대문구,,>=165,2,58.50,3,56.33,-3.7%,2,52.00,-7.7%,1,52.00,-7.7%
REGION,서울시,동대문구,,ALL_BINS,52,23.83,54,24.36,+2.2%,39,23.86,-2.0%,37,23.11,-5.1%
REGION,서울시,동작구,,33-65,1,26.80,1,26.80,+0.0%,1,26.80,+0.0%,1,26.80,+0.0%
REGION,서울시,동작구,,66-98,18,32.97,18,32.92,-0.2%,12,32.04,-2.7%,12,32.12,-2.4%
REGION,서울시,동작구,,99-131,2,38.95,2,38.95,+0.0%,2,38.95,+0.0%,2,38.95,+0.0%
REGION,서울시,동작구,,ALL_BINS,21,33.25,21,33.20,-0.1%,15,32.61,-1.8%,15,32.68,-1.6%
REGION,서울시,마포구,,33-65,15,21.15,16,21.55,+1.9%,11,20.03,-7.1%,10,19.33,-10.3%
REGION,서울시,마포구,,66-98,34,21.39,33,22.00,+2.9%,25,21.83,-0.8%,26,21.08,-4.2%
REGION,서울시,마포구,,99-131,5,38.00,5,38.00,+0.0%,3,34.67,-8.8%,3,34.67,-8.8%
REGION,서울시,마포구,,ALL_BINS,54,22.86,54,23.35,+2.1%,39,22.31,-4.4%,39,21.68,-7.2%
REGION,서울시,서대문구,,33-65,3,20.37,4,21.27,+4.4%,3,21.60,+1.6%,2,20.40,-4.1%
REGION,서울시,서대문구,,66-98,43,23.15,43,23.20,+0.2%,34,23.11,-0.4%,34,23.06,-0.6%
REGION,서울시,서대문구,,ALL_BINS,46,22.97,47,23.04,+0.3%,37,22.99,-0.2%,36,22.91,-0.5%
REGION,서울시,서초구,,33-65,54,46.69,58,47.10,+0.9%,31,47.53,+0.9%,27,46.76,-0.7%
REGION,서울시,서초구,,66-98,208,63.91,207,63.78,-0.2%,98,63.49,-0.4%,99,63.69,-0.1%
REGION,서울시,서초구,,99-131,145,83.50,141,83.47,-0.0%,78,85.04,+1.9%,82,85.01,+1.8%
REGION,서울시,서초구,,132-164,36,102.78,35,102.91,+0.1%,20,105.30,+2.3%,21,104.95,+2.0%
REGION,서울시,서초구,,>=165,5,149.00,3,151.67,+1.8%,2,152.50,+0.5%,4,148.75,-1.9%
REGION,서울시,서초구,,ALL_BINS,448,72.25,444,71.53,-1.0%,229,73.10,+2.2%,233,74.41,+4.0%
REGION,서울시,성동구,,<33,3,10.17,4,10.12,-0.5%,3,10.17,+0.5%,2,10.25,+1.3%
REGION,서울시,성동구,,33-65,19,17.47,22,17.36,-0.6%,17,17.91,+3.2%,14,18.17,+4.6%
REGION,서울시,성동구,,66-98,11,26.91,12,28.01,+4.1%,10,28.32,+1.1%,9,27.00,-3.6%
REGION,서울시,성동구,,99-131,7,31.81,6,33.39,+5.0%,4,33.66,+0.8%,5,31.39,-6.0%
REGION,서울시,성동구,,132-164,16,27.68,16,27.34,-1.2%,11,27.63,+1.0%,11,28.22,+3.2%
REGION,서울시,성동구,,ALL_BINS,56,23.64,60,23.27,-1.6%,45,23.48,+0.9%,41,24.03,+3.3%
REGION,서울시,성북구,,33-65,15,14.80,18,15.33,+3.6%,13,15.27,-0.4%,10,14.50,-5.4%
REGION,서울시,성북구,,66-98,12,17.66,8,17.88,+1.2%,6,17.92,+0.2%,10,17.64,-1.3%
REGION,서울시,성북구,,99-131,1,25.00,1,25.00,+0.0%,1,25.00,+0.0%,1,25.00,+0.0%
REGION,서울시,성북구,,ALL_BINS,28,16.39,27,16.44,+0.3%,20,16.55,+0.7%,21,16.50,+0.3%
REGION,서울시,송파구,,33-65,14,30.33,20,30.33,-0.0%,16,30.34,+0.0%,10,30.35,+0.1%
REGION,서울시,송파구,,66-98,38,35.15,41,35.15,+0.0%,33,35.17,+0.1%,30,35.18,+0.1%
REGION,서울시,송파구,,99-131,12,43.45,12,43.70,+0.6%,7,43.29,-0.9%,7,42.86,-1.9%
REGION,서울시,송파구,,ALL_BINS,64,35.65,73,35.23,-1.2%,56,34.80,-1.2%,47,35.30,+0.2%
REGION,서울시,양천구,,33-65,1,28.50,3,28.17,-1.2%,3,28.17,+0.0%,1,28.50,+1.2%
REGION,서울시,양천구,,66-98,9,33.72,7,34.14,+1.2%,4,34.50,+1.1%,6,33.75,-1.1%
REGION,서울시,양천구,,99-131,1,40.00,1,40.00,+0.0%,0,,,0,,
REGION,서울시,양천구,,ALL_BINS,11,33.82,11,33.04,-2.3%,7,31.79,-3.8%,7,33.00,-0.1%
REGION,서울시,영등포구,,33-65,1,23.00,1,23.00,+0.0%,1,23.00,+0.0%,1,23.00,+0.0%
REGION,서울시,영등포구,,66-98,21,24.94,20,25.09,+0.6%,9,25.24,+0.6%,10,24.94,-0.6%
