date,﻿level,group,spc_bin,prev_cnt,prev_avg_eok,curr_cnt,curr_avg_eok,avg_change_pct,new_cnt,new_avg_eok,new_premium_pct,del_cnt,del_avg_eok,del_premium_pct
2026-01-31,ALL,ALL,132-164,130,26.98,206,24.19,-10.3%,155,22.86,-5.5%,79,26.1,+7.9%
2026-01-31,ALL,ALL,33-65,221,9.59,651,8.05,-16.0%,555,7.68,-4.6%,125,9.13,+13.4%
2026-01-31,ALL,ALL,66-98,634,16.04,1562,13.39,-16.5%,1294,12.53,-6.4%,366,14.94,+11.6%
2026-01-31,ALL,ALL,99-131,235,25.98,414,20.33,-21.8%,320,18.11,-10.9%,141,24.69,+21.5%
2026-01-31,ALL,ALL,ALL_BINS,1250,18.31,2924,14.59,-20.3%,2407,13.59,-6.8%,733,17.65,+21.0%
2026-02-01,ALL,ALL,132-164,136,26.87,210,24.41,-9.1%,151,23.15,-5.2%,77,26.2,+7.3%
2026-02-01,ALL,ALL,33-65,230,9.5,649,8.13,-14.4%,538,7.71,-5.1%,119,8.9,+9.5%
2026-02-01,ALL,ALL,66-98,638,16.03,1579,13.37,-16.6%,1282,12.47,-6.8%,341,14.94,+11.7%
2026-02-01,ALL,ALL,99-131,236,26.04,415,20.29,-22.1%,309,18.21,-10.3%,130,25.72,+26.7%
2026-02-01,ALL,ALL,ALL_BINS,1272,18.25,2943,14.61,-19.9%,2359,13.55,-7.3%,688,17.68,+21.0%
2026-02-02,ALL,ALL,132-164,134,26.85,207,24.39,-9.2%,150,23.19,-4.9%,77,26.26,+7.7%
2026-02-02,ALL,ALL,33-65,225,9.48,639,8.12,-14.4%,534,7.75,-4.6%,120,9.02,+11.1%
2026-02-02,ALL,ALL,66-98,626,16.03,1554,13.37,-16.6%,1273,12.5,-6.5%,345,14.99,+12.1%
2026-02-02,ALL,ALL,99-131,230,25.95,412,20.28,-21.9%,306,18.23,-10.1%,124,25.71,+26.8%
2026-02-02,ALL,ALL,ALL_BINS,1247,18.24,2898,14.6,-19.9%,2338,13.56,-7.1%,687,17.63,+20.7%
2026-02-03,ALL,ALL,132-164,132,26.67,212,24.28,-9.0%,153,22.68,-6.6%,73,25.2,+3.8%
2026-02-03,ALL,ALL,33-65,229,9.45,641,8.06,-14.8%,541,7.69,-4.6%,129,8.98,+11.5%
2026-02-03,ALL,ALL,66-98,626,16.03,1554,13.34,-16.8%,1280,12.52,-6.2%,352,15.14,+13.5%
2026-02-03,ALL,ALL,99-131,226,26.13,409,20.4,-21.9%,306,18.25,-10.5%,123,25.56,+25.3%
2026-02-03,ALL,ALL,ALL_BINS,1244,18.18,2905,14.65,-19.4%,2360,13.59,-7.3%,699,17.33,+18.3%
2026-02-04,ALL,ALL,132-164,137,26.84,209,24.55,-8.5%,149,22.84,-7.0%,77,25.24,+2.8%
2026-02-04,ALL,ALL,33-65,236,9.5,639,8.06,-15.1%,525,7.57,-6.1%,122,8.73,+8.2%
2026-02-04,ALL,ALL,66-98,629,16.07,1581,13.39,-16.7%,1304,12.55,-6.2%,352,15.08,+12.6%
2026-02-04,ALL,ALL,99-131,226,26.08,417,20.49,-21.4%,319,18.43,-10.1%,128,25.21,+23.0%
2026-02-04,ALL,ALL,ALL_BINS,1258,18.2,2933,14.72,-19.1%,2374,13.67,-7.1%,699,17.41,+18.3%
2026-02-05,ALL,ALL,132-164,134,26.6,213,24.33,-8.5%,157,22.24,-8.6%,78,23.99,-1.4%
2026-02-05,ALL,ALL,33-65,239,9.46,632,8.11,-14.3%,524,7.65,-5.6%,131,8.75,+7.9%
2026-02-05,ALL,ALL,66-98,618,16.15,1580,13.37,-17.2%,1313,12.61,-5.7%,351,15.4,+15.2%
2026-02-05,ALL,ALL,99-131,230,25.81,417,20.32,-21.3%,327,18.46,-9.2%,140,25.03,+23.2%
2026-02-05,ALL,ALL,ALL_BINS,1249,18.19,2929,14.71,-19.1%,2398,13.73,-6.7%,718,17.48,+18.9%
2026-02-06,ALL,ALL,132-164,129,26.57,213,23.99,-9.7%,155,21.73,-9.4%,71,23.78,-0.9%
2026-02-06,ALL,ALL,33-65,236,9.47,625,8.14,-14.0%,522,7.81,-4.1%,133,9.18,+12.7%
2026-02-06,ALL,ALL,66-98,625,16.11,1590,13.35,-17.1%,1330,12.68,-5.0%,365,15.63,+17.1%
2026-02-06,ALL,ALL,99-131,223,25.64,420,20.47,-20.2%,334,18.79,-8.2%,137,24.81,+21.2%
2026-02-06,ALL,ALL,ALL_BINS,1240,18.07,2936,14.69,-18.7%,2420,13.81,-6.0%,724,17.53,+19.3%
2026-02-07,ALL,ALL,132-164,206,24.19,226,23.96,-0.9%,140,22.57,-5.8%,120,22.72,-5.2%
2026-02-07,ALL,ALL,33-65,651,8.05,637,8.24,+2.3%,374,8.39,+1.8%,388,8.07,-2.1%
2026-02-07,ALL,ALL,66-98,1562,13.39,1598,13.41,+0.1%,882,13.15,-1.9%,846,13.10,-2.3%
2026-02-07,ALL,ALL,99-131,414,20.33,424,20.60,+1.3%,270,20.61,+0.1%,260,20.19,-2.0%
2026-02-07,ALL,ALL,ALL_BINS,2924,14.59,2975,14.78,+1.3%,1725,14.89,+0.7%,1674,14.56,-1.5%
